iter	Passed	Remaining
0	55	5501
1	111	5461
2	165	5343
3	218	5241
4	274	5218
5	332	5216
6	387	5152
7	449	5174
8	527	5331
9	588	5299
10	646	5234
11	704	5166
12	767	5134
13	821	5046
14	875	4961
15	964	5062
16	1052	5140
17	1127	5134
18	1210	5159
19	1284	5137
20	1350	5079
21	1420	5036
22	1496	5010
23	1568	4968
24	1648	4946
25	1722	4902
26	1789	4839
27	1865	4797
28	1948	4770
29	2021	4717
30	2102	4680
31	2177	4626
32	2251	4571
33	2320	4504
34	2384	4428
35	2442	4343
36	2500	4258
37	2564	4183
38	2622	4102
39	2677	4016
40	2738	3941
41	2793	3857
42	2847	3774
43	2901	3692
44	2968	3628
45	3023	3548
46	3078	3471
47	3133	3394
48	3195	3326
49	3247	3247
50	3263	3135
51	3315	3060
52	3387	3004
53	3475	2960
54	3550	2904
55	3626	2849
56	3680	2776
57	3735	2704
58	3788	2632
59	3847	2565
60	3906	2497
61	3961	2428
62	4017	2359
63	4080	2295
64	4134	2226
65	4189	2158
66	4242	2089
67	4302	2024
68	4359	1958
69	4411	1890
70	4463	1823
71	4530	1761
72	4586	1696
73	4637	1629
74	4691	1563
75	4750	1500
76	4809	1436
77	4863	1371
78	4920	1307
79	4986	1246
80	5042	1182
81	5096	1118
82	5149	1054
83	5204	991
84	5262	928
85	5319	865
86	5372	802
87	5437	741
88	5490	678
89	5542	615
90	5597	553
91	5654	491
92	5713	430
93	5769	368
94	5824	306
95	5889	245
96	5948	183
97	6002	122
98	6053	61
99	6122	0
